epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.689,2.01894,3.70317,1.84553,0.00688,0.13348,0.00993,0.00686,2.00935,3.78231,2.05458,2.222e-05,2.222e-05,2.222e-05
2,4.825,2.3426,3.85686,1.89051,0.00642,0.13348,0.01016,0.00716,1.94697,3.77456,2.01562,5.50001e-05,5.50001e-05,5.50001e-05
3,6.911,2.16487,3.74838,2.02969,0.00578,0.13348,0.00998,0.00724,1.84173,3.79805,1.95934,8.71202e-05,8.71202e-05,8.71202e-05
4,9.101,1.97752,3.80993,1.7281,0.00617,0.14401,0.03968,0.03337,1.86615,3.78165,1.96494,0.00011858,0.00011858,0.00011858
5,11.117,1.79566,3.619,1.69878,0.00617,0.14401,0.03968,0.03337,1.86615,3.78165,1.96494,0.000149381,0.000149381,0.000149381
6,13.179,1.80856,3.69309,1.73616,0.00694,0.18311,0.05833,0.04586,1.72632,3.71896,1.84497,0.000179521,0.000179521,0.000179521
7,15.247,1.89544,3.84757,1.69051,0.00694,0.18311,0.05833,0.04586,1.72632,3.71896,1.84497,0.000209001,0.000209001,0.000209001
8,17.295,1.91531,3.7883,1.66258,0.00694,0.18311,0.05833,0.04586,1.72632,3.71896,1.84497,0.000237822,0.000237822,0.000237822
9,19.373,1.82838,3.75073,1.64029,0.01093,0.26907,0.06812,0.04387,1.28335,3.67859,1.54163,0.000265982,0.000265982,0.000265982
10,21.412,1.71961,3.66172,1.60868,0.01093,0.26907,0.06812,0.04387,1.28335,3.67859,1.54163,0.000293483,0.000293483,0.000293483
11,23.484,1.73151,3.80926,1.56563,0.01093,0.26907,0.06812,0.04387,1.28335,3.67859,1.54163,0.000320324,0.000320324,0.000320324
12,25.557,1.5695,3.69703,1.49853,0.01093,0.26907,0.06812,0.04387,1.28335,3.67859,1.54163,0.000346504,0.000346504,0.000346504
13,27.705,1.62293,3.63551,1.53841,0.01215,0.33802,0.04777,0.0184,1.31794,3.56747,1.37384,0.000372025,0.000372025,0.000372025
14,29.747,1.51452,3.37207,1.43328,0.01215,0.33802,0.04777,0.0184,1.31794,3.56747,1.37384,0.000396886,0.000396886,0.000396886
15,31.831,1.47517,3.53271,1.48,0.01215,0.33802,0.04777,0.0184,1.31794,3.56747,1.37384,0.000421087,0.000421087,0.000421087
16,33.882,1.49616,3.42652,1.45999,0.01215,0.33802,0.04777,0.0184,1.31794,3.56747,1.37384,0.000444628,0.000444628,0.000444628
17,35.994,1.74087,3.67611,1.72472,0.01215,0.33802,0.04777,0.0184,1.31794,3.56747,1.37384,0.000467509,0.000467509,0.000467509
18,38.131,1.60246,3.64279,1.44619,0.01639,0.43241,0.09665,0.03974,1.22691,3.47489,1.2521,0.00048973,0.00048973,0.00048973
19,40.272,1.56336,3.61442,1.53162,0.01639,0.43241,0.09665,0.03974,1.22691,3.47489,1.2521,0.000511291,0.000511291,0.000511291
20,42.41,1.45905,3.2987,1.45471,0.01639,0.43241,0.09665,0.03974,1.22691,3.47489,1.2521,0.000532192,0.000532192,0.000532192
21,44.725,1.53844,3.25238,1.54956,0.01639,0.43241,0.09665,0.03974,1.22691,3.47489,1.2521,0.000552434,0.000552434,0.000552434
22,46.955,1.35089,3.30495,1.41222,0.01639,0.43241,0.09665,0.03974,1.22691,3.47489,1.2521,0.000572015,0.000572015,0.000572015
23,49.073,1.57906,3.41859,1.54328,0.01639,0.43241,0.09665,0.03974,1.22691,3.47489,1.2521,0.000590936,0.000590936,0.000590936
24,51.215,1.64581,3.33936,1.5332,0.01639,0.43241,0.09665,0.03974,1.22691,3.47489,1.2521,0.000609198,0.000609198,0.000609198
25,53.348,1.30333,3.2933,1.40529,0.01639,0.43241,0.09665,0.03974,1.22691,3.47489,1.2521,0.0006268,0.0006268,0.0006268
